id,name,path,collection,parentId,sourceUrl,folderUrl,type,extension,displaySize,campaignMonth,formatFromName,ugcLabeled,previewLabeled,storageStatus,inspectionStatus,performanceStatus
1T8UF0lF0pm9_mpy-bFfLSVom7RO7WZ1s,AL WHITE WINDOW.png,Brand Assets/A-TEAM ASSETS/AL WHITE WINDOW.png,brand,1thqDi9H9A47RM9j3W36qZaDRvngEjtPu,https://drive.google.com/file/d/1T8UF0lF0pm9_mpy-bFfLSVom7RO7WZ1s/view,https://drive.google.com/drive/folders/1thqDi9H9A47RM9j3W36qZaDRvngEjtPu,image,.png,15.2 MB,,,False,False,linked_to_drive,cataloged,not_supplied
17VgHvuL4xr94LcSQnq6e-HbHDnHABAS5,ateam.psd,Brand Assets/A-TEAM ASSETS/ateam.psd,brand,1thqDi9H9A47RM9j3W36qZaDRvngEjtPu,https://drive.google.com/file/d/17VgHvuL4xr94LcSQnq6e-HbHDnHABAS5/view,https://drive.google.com/drive/folders/1thqDi9H9A47RM9j3W36qZaDRvngEjtPu,layered image,.psd,56.5 MB,,,False,False,linked_to_drive,cataloged,not_supplied
1Dvl8zcn7_lTq3-KPslnHagggUZHYair-,PHTO A-Team 2021 2A 12679 RGB 2.png,Brand Assets/A-TEAM ASSETS/PHTO A-Team 2021 2A 12679 RGB 2.png,brand,1thqDi9H9A47RM9j3W36qZaDRvngEjtPu,https://drive.google.com/file/d/1Dvl8zcn7_lTq3-KPslnHagggUZHYair-/view,https://drive.google.com/drive/folders/1thqDi9H9A47RM9j3W36qZaDRvngEjtPu,image,.png,1.2 MB,,,False,False,linked_to_drive,cataloged,not_supplied
1pI2g-lCS9mu9ff5yFXQnx7crxk941evz,PHTO A-Team 2021 2A 12679 RGB.png,Brand Assets/A-TEAM ASSETS/PHTO A-Team 2021 2A 12679 RGB.png,brand,1thqDi9H9A47RM9j3W36qZaDRvngEjtPu,https://drive.google.com/file/d/1pI2g-lCS9mu9ff5yFXQnx7crxk941evz/view,https://drive.google.com/drive/folders/1thqDi9H9A47RM9j3W36qZaDRvngEjtPu,image,.png,1.2 MB,,,False,False,linked_to_drive,cataloged,not_supplied
1gjgT9OKq8lmRFzFcH43juvDqMKfv-6iL,PHTO A-Team Certified Master Installer 2021 392A 12679 RGB.png,Brand Assets/A-TEAM ASSETS/PHTO A-Team Certified Master Installer 2021 392A 12679 RGB.png,brand,1thqDi9H9A47RM9j3W36qZaDRvngEjtPu,https://drive.google.com/file/d/1gjgT9OKq8lmRFzFcH43juvDqMKfv-6iL/view,https://drive.google.com/drive/folders/1thqDi9H9A47RM9j3W36qZaDRvngEjtPu,image,.png,2.5 MB,,,False,False,linked_to_drive,cataloged,not_supplied
1DEVF-_kNNIJmsAO4mEKbGu-QpHsK8FvW,PHTO A-Team Concierge 2021 161A 12679 RGB.png,Brand Assets/A-TEAM ASSETS/PHTO A-Team Concierge 2021 161A 12679 RGB.png,brand,1thqDi9H9A47RM9j3W36qZaDRvngEjtPu,https://drive.google.com/file/d/1DEVF-_kNNIJmsAO4mEKbGu-QpHsK8FvW/view,https://drive.google.com/drive/folders/1thqDi9H9A47RM9j3W36qZaDRvngEjtPu,image,.png,7.6 MB,,,False,False,linked_to_drive,cataloged,not_supplied
1MsGQle2O7xh6G6KB61HaEUHQA8xZVswz,PHTO A-Team Design Consultant 2021 354A 12679 RGB (1).png,Brand Assets/A-TEAM ASSETS/PHTO A-Team Design Consultant 2021 354A 12679 RGB (1).png,brand,1thqDi9H9A47RM9j3W36qZaDRvngEjtPu,https://drive.google.com/file/d/1MsGQle2O7xh6G6KB61HaEUHQA8xZVswz/view,https://drive.google.com/drive/folders/1thqDi9H9A47RM9j3W36qZaDRvngEjtPu,image,.png,7.1 MB,,,False,False,linked_to_drive,cataloged,not_supplied
15XQL8m_oDqjr5TAPmdSUcoBgL7eCWds5,PHTO A-Team Service Tech 2021 119A 12679 RGB.png,Brand Assets/A-TEAM ASSETS/PHTO A-Team Service Tech 2021 119A 12679 RGB.png,brand,1thqDi9H9A47RM9j3W36qZaDRvngEjtPu,https://drive.google.com/file/d/15XQL8m_oDqjr5TAPmdSUcoBgL7eCWds5/view,https://drive.google.com/drive/folders/1thqDi9H9A47RM9j3W36qZaDRvngEjtPu,image,.png,7.2 MB,,,False,False,linked_to_drive,cataloged,not_supplied
1bgRPxfRld_RWnUfC5K18w-zz1qKYjpK-,PHTO Al Holding Double-Hung Window Black 12014A 12480 RGB 2.png,Brand Assets/A-TEAM ASSETS/PHTO Al Holding Double-Hung Window Black 12014A 12480 RGB 2.png,brand,1thqDi9H9A47RM9j3W36qZaDRvngEjtPu,https://drive.google.com/file/d/1bgRPxfRld_RWnUfC5K18w-zz1qKYjpK-/view,https://drive.google.com/drive/folders/1thqDi9H9A47RM9j3W36qZaDRvngEjtPu,image,.png,1.3 MB,,,False,False,linked_to_drive,cataloged,not_supplied
1TQWSG5wNn9U2eRE-3ln0N1Q4O_iZXSsB,PHTO Al Holding Double-Hung Window Black 12014A 12480 RGB.png,Brand Assets/A-TEAM ASSETS/PHTO Al Holding Double-Hung Window Black 12014A 12480 RGB.png,brand,1thqDi9H9A47RM9j3W36qZaDRvngEjtPu,https://drive.google.com/file/d/1TQWSG5wNn9U2eRE-3ln0N1Q4O_iZXSsB/view,https://drive.google.com/drive/folders/1thqDi9H9A47RM9j3W36qZaDRvngEjtPu,image,.png,1.3 MB,,,False,False,linked_to_drive,cataloged,not_supplied
